geoid,geoid20,year,denom_total_pop,all_crime_count,all_crime_rate,parti_violent_rate,parti_violent_count,parti_property_rate,parti_property_count,partii_rate,partii_count,_merge
1400000US06037117520,6037117520,2022,4571,199,435.3533,87.508202,40,150.95164,69,194.70575,89,Master only (1)
1400000US06037117530,6037117530,2022,5963,227,380.68088,46.95623,28,135.83766,81,196.20996,117,Master only (1)
1400000US06037119001,6037119001,2022,4462,85,190.49753,6.7234426,3,94.128197,42,89.645897,40,Master only (1)
1400000US06037119003,6037119003,2022,3895,118,302.95251,33.376122,13,97.560974,38,172.01541,67,Master only (1)
1400000US06037119004,6037119004,2022,2768,124,447.97687,68.641617,19,177.02312,49,198.69942,55,Master only (1)
1400000US06037119201,6037119201,2022,4412,118,267.45239,29.465096,13,106.52765,47,131.45966,58,Master only (1)
1400000US06037119202,6037119202,2022,4766,109,228.70331,23.080151,11,86.026016,41,119.59715,57,Master only (1)
1400000US06037119310,6037119310,2022,3931,181,460.44263,53.42152,21,172.98398,68,234.03714,92,Master only (1)
1400000US06037119320,6037119320,2022,4475,64,143.01675,4.4692736,2,62.569832,28,75.977654,34,Master only (1)
1400000US06037119340,6037119340,2022,3905,130,332.90652,48.655571,19,66.581306,26,217.66965,85,Master only (1)
1400000US06037119341,6037119341,2022,2750,154,560,40,11,236.36363,65,283.63635,78,Master only (1)
1400000US06037119342,6037119342,2022,2850,71,249.1228,14.035088,4,101.75439,29,133.33333,38,Master only (1)
1400000US06037119400,6037119400,2022,5061,106,209.44478,15.807153,8,82.987549,42,110.65007,56,Master only (1)
1400000US06037119700,6037119700,2022,4269,221,517.68567,44.506908,19,281.09628,120,187.39752,80,Master only (1)
1400000US06037119801,6037119801,2022,2556,70,273.86542,15.649452,4,125.19562,32,133.02034,34,Master only (1)
1400000US06037119802,6037119802,2022,3238,73,225.4478,30.883261,10,92.64978,30,101.91476,33,Master only (1)
1400000US06037119900,6037119900,2022,4521,116,256.58041,11.0595,5,128.29021,58,117.2307,53,Master only (1)
1400000US06037120010,6037120010,2022,2700,119,440.74075,55.555557,15,200,54,185.18518,50,Master only (1)
1400000US06037120020,6037120020,2022,4359,236,541.40857,84.881851,37,266.11609,116,190.41064,83,Master only (1)
1400000US06037120030,6037120030,2022,2614,134,512.62433,72.685539,19,172.14996,45,267.78882,70,Master only (1)
1400000US06037120103,6037120103,2022,3030,131,432.34323,95.709572,29,122.11221,37,214.52145,65,Master only (1)
1400000US06037120104,6037120104,2022,2375,249,1048.421,138.94737,33,480,114,429.47369,102,Master only (1)
1400000US06037120105,6037120105,2022,2691,289,1073.9502,152.35971,41,453.36307,122,468.22742,126,Master only (1)
1400000US06037120106,6037120106,2022,4443,157,353.36484,36.011703,16,117.03804,52,198.06438,88,Master only (1)
1400000US06037120107,6037120107,2022,4044,165,408.01187,64.292778,26,91.493568,37,249.75272,101,Master only (1)
1400000US06037120108,6037120108,2022,4511,113,250.49878,19.951231,9,115.27377,52,115.27377,52,Master only (1)
1400000US06037120300,6037120300,2022,5299,255,481.22287,47.178715,25,201.9249,107,228.34497,121,Master only (1)
1400000US06037120400,6037120400,2022,6170,218,353.32254,14.58671,9,178.28201,110,157.21231,97,Master only (1)
1400000US06037121010,6037121010,2022,5277,308,583.66498,73.905624,39,288.04245,152,217.92685,115,Master only (1)
1400000US06037121020,6037121020,2022,3661,174,475.27997,16.388966,6,267.68643,98,180.27861,66,Master only (1)
1400000US06037121101,6037121101,2022,3191,112,350.98715,47.007206,15,181.7612,58,119.08492,38,Master only (1)
